HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common_name,Female_maturity_days,Male_maturity_days,Gestation_or_Incubation_days,Weaning_days,Clutch_size,Clutches_per_year,Interbirth_interval,Birth_weight_g,Weaning_weight_g,Adult_weight_g,Growth_rate,Maximum_longevity_yrs,Source,Specimen_origin,Sample_size,Data_quality,IMR_per_year,MRDT_yrs,Metabolic_rate_W,Body_mass_g,Temperature
3,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,pulicaria,Daphnia,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.19,unknown,unknown,medium,acceptable,NULL,NULL,NULL,NULL,unknown
5,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,melanogaster,Fruit fly,7,7,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3,unknown,captivity,large,acceptable,0.05,0.04,NULL,NULL,unknown
6,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,mellifera,Honey bee,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,812,unknown,medium,acceptable,NULL,NULL,NULL,NULL,unknown
8,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Cardiocondyla,obscurior,Cardiocondyla obscurior,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,1293,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
9,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,niger,Black garden ant,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,411,unknown,medium,acceptable,NULL,NULL,NULL,NULL,unknown
10,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,dentata,Pheidole dentata,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,1156,captivity,medium,questionable,NULL,NULL,NULL,NULL,unknown
11,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus,anynana,Squinting bush brown,15,15,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,811,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
12,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,American lobster,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
15,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,bombina,Firebelly toad,1095,1095,NotKnow,NotKnow,190,NULL,NULL,NULL,NULL,NULL,NULL,20,485,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
16,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,orientalis,Oriental firebelly toad,NotKnow,NotKnow,NotKnow,NotKnow,148,NULL,NULL,NULL,NULL,NULL,NULL,15.8,451,captivity,large,acceptable,NULL,NULL,NULL,NULL,unknown
17,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,variegata,Yellow-bellied toad,NotKnow,NotKnow,NotKnow,NotKnow,73,NULL,NULL,NULL,NULL,NULL,NULL,29,unknown,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
18,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American toad,910,910,8,NotKnow,6000,NULL,365,NULL,NULL,21.7667,NULL,36,525,captivity,medium,acceptable,NULL,NULL,0.00829,21.6,288
19,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,boreas,Western toad,1095,1095,6,NotKnow,5200,NULL,NULL,NULL,NULL,NULL,NULL,11.5,451,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
20,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,canorus,Yosemite toad,1825,1460,11,NotKnow,1750,NULL,NULL,NULL,NULL,NULL,NULL,15,503,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
21,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,cognatus,Great plains toad,730,730,4,NotKnow,11074,NULL,NULL,NULL,NULL,NULL,NULL,10.7,485,captivity,small,questionable,NULL,NULL,NULL,NULL,unknown
22,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,debilis,Green toad,NotKnow,NotKnow,NotKnow,NotKnow,1300,NULL,NULL,NULL,NULL,NULL,NULL,12.4,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
23,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,hemiophrys,Canadian toad,730,730,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.3,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
24,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,punctatus,Red-spotted toad,730,730,NotKnow,NotKnow,1500,NULL,NULL,NULL,NULL,NULL,NULL,11.3,485,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
25,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,retiformis,Sonoran green toad,NotKnow,NotKnow,2,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.3,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
26,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern toad,NotKnow,NotKnow,3,NotKnow,3250,NULL,NULL,NULL,NULL,19.267,NULL,10,451,captivity,medium,acceptable,NULL,NULL,0.00698,19.2,288
27,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,varius,Veragoa stubfoot toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,451,captivity,large,acceptable,NULL,NULL,NULL,NULL,unknown
28,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,bufo,Common European toad,1460,1460,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,451,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
29,Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,alvarius,Colorado river toad,NotKnow,1095,NotKnow,NotKnow,7750,NULL,NULL,NULL,NULL,NULL,NULL,15.4,485,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
30,Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophrynoides,asperginis,Kihansi spray toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,990,captivity,medium,questionable,NULL,NULL,NULL,NULL,unknown
31,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,lemur,Ridge-headed toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.7,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
32,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,peltocephala,Cuban toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,485,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
33,Animalia,Chordata,Amphibia,Anura,Bufonidae,Pseudepidalea,viridis,European green toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.9,451,captivity,large,acceptable,NULL,NULL,NULL,NULL,unknown
34,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhaebo,blombergi,Colombian giant toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.7,451,captivity,tiny,acceptable,NULL,NULL,NULL,NULL,unknown
35,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,arenarum,Argentine toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
36,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Cane toad,365,365,2,NotKnow,10000,NULL,NULL,NULL,NULL,106.25,NULL,24.8,485,captivity,large,acceptable,NULL,NULL,0.0303,105,293
37,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,schneideri,Eurura toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.1,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
38,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,aurita,Common horned frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.8,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
39,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,calcarata,Colombian horned frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.9,451,captivity,tiny,acceptable,NULL,NULL,NULL,NULL,unknown
40,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,cornuta,Amazonian horned frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.3,485,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
41,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,ornata,Ornate horned frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.7,451,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
42,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,auratus,Green and black dart-poison frog,365,365,12,NotKnow,6,NULL,NULL,NULL,NULL,NULL,NULL,20.5,448,captivity,large,acceptable,NULL,NULL,NULL,NULL,unknown
43,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,leucomelas,Yellow-banded poison frog,75,75,12,NotKnow,7,NULL,NULL,NULL,NULL,NULL,NULL,11.5,451,captivity,large,acceptable,NULL,NULL,NULL,NULL,unknown
44,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,tinctorius,Blue poison-dart frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown,unknown,large,low,NULL,NULL,NULL,NULL,unknown
45,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,histrionica,Kokoe-pa poison dart frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.1,451,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
